Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
26 Feb 2022 14:20:43.812    26 Feb 2022 14:38:05.877      1042.0647681    Earth           Penumbra    1             1042.0647681
27 Feb 2022 14:15:59.017    27 Feb 2022 14:24:08.889      489.87262611    Earth           Penumbra    1             1603.2148217
27 Feb 2022 14:24:08.889    27 Feb 2022 14:34:32.365      623.47557022    Earth           Umbra       1             1603.2148217
27 Feb 2022 14:34:32.365    27 Feb 2022 14:42:42.232      489.86662540    Earth           Penumbra    1             1603.2148217
28 Feb 2022 14:12:32.033    28 Feb 2022 14:17:57.383      325.35038745    Earth           Penumbra    2             1999.7765073
28 Feb 2022 14:17:57.383    28 Feb 2022 14:40:26.465      1349.0817331    Earth           Umbra       2             1999.7765073
28 Feb 2022 14:40:26.465    28 Feb 2022 14:45:51.809      325.34438674    Earth           Penumbra    2             1999.7765073
01 Mar 2022 14:09:44.654    01 Mar 2022 14:14:09.935      265.28139875    Earth           Penumbra    3             2316.5890082
01 Mar 2022 14:14:09.935    01 Mar 2022 14:43:55.968      1786.0322004    Earth           Umbra       3             2316.5890082
01 Mar 2022 14:43:55.968    01 Mar 2022 14:48:21.243      265.27540904    Earth           Penumbra    3             2316.5890082
02 Mar 2022 14:07:22.255    02 Mar 2022 14:11:13.395      231.13989778    Earth           Penumbra    4             2582.9305598
02 Mar 2022 14:11:13.395    02 Mar 2022 14:46:34.052      2120.6567313    Earth           Umbra       4             2582.9305598
02 Mar 2022 14:46:34.052    02 Mar 2022 14:50:25.186      231.13393070    Earth           Penumbra    4             2582.9305598
03 Mar 2022 14:05:17.765    03 Mar 2022 14:08:46.265      208.50000128    Earth           Penumbra    5             2812.9723212
03 Mar 2022 14:08:46.265    03 Mar 2022 14:48:42.243      2395.9782518    Earth           Umbra       5             2812.9723212
03 Mar 2022 14:48:42.243    03 Mar 2022 14:52:10.737      208.49406815    Earth           Penumbra    5             2812.9723212
04 Mar 2022 14:03:27.125    04 Mar 2022 14:06:39.316      192.19182052    Earth           Penumbra    6             3014.8597870
04 Mar 2022 14:06:39.316    04 Mar 2022 14:50:29.798      2630.4820379    Earth           Umbra       6             3014.8597870
04 Mar 2022 14:50:29.798    04 Mar 2022 14:53:41.984      192.18592857    Earth           Penumbra    6             3014.8597870
05 Mar 2022 14:01:47.755    05 Mar 2022 14:04:47.577      179.82203717    Earth           Penumbra    7             3193.7833004
05 Mar 2022 14:04:47.577    05 Mar 2022 14:52:01.723      2834.1450677    Earth           Umbra       7             3193.7833004
05 Mar 2022 14:52:01.723    05 Mar 2022 14:55:01.539      179.81619551    Earth           Penumbra    7             3193.7833004
06 Mar 2022 14:00:17.902    06 Mar 2022 14:03:08.009      170.10718749    Earth           Penumbra    8             3353.2863960
06 Mar 2022 14:03:08.009    06 Mar 2022 14:53:21.087      3013.0778033    Earth           Umbra       8             3353.2863960
06 Mar 2022 14:53:21.087    06 Mar 2022 14:56:11.188      170.10140524    Earth           Penumbra    8             3353.2863960
07 Mar 2022 13:58:24.655    07 Mar 2022 14:01:07.000      162.34508604    Earth           Penumbra    1             3493.8849944
07 Mar 2022 14:01:07.000    07 Mar 2022 14:53:56.199      3169.1992913    Earth           Umbra       1             3493.8849944
07 Mar 2022 14:53:56.199    07 Mar 2022 14:56:38.540      162.34061702    Earth           Penumbra    1             3493.8849944
08 Mar 2022 13:57:02.168    08 Mar 2022 13:59:38.095      155.92678324    Earth           Penumbra    2             3621.7166354
08 Mar 2022 13:59:38.095    08 Mar 2022 14:54:47.963      3309.8674229    Earth           Umbra       2             3621.7166354
08 Mar 2022 14:54:47.963    08 Mar 2022 14:57:23.885      155.92242926    Earth           Penumbra    2             3621.7166354
09 Mar 2022 13:55:46.322    09 Mar 2022 13:58:16.929      150.60687584    Earth           Penumbra    3             3735.9843306
09 Mar 2022 13:58:16.929    09 Mar 2022 14:55:31.704      3434.7748113    Earth           Umbra       3             3735.9843306
09 Mar 2022 14:55:31.704    09 Mar 2022 14:58:02.306      150.60264351    Earth           Penumbra    3             3735.9843306
10 Mar 2022 13:54:36.568    10 Mar 2022 13:57:02.730      146.16147901    Earth           Penumbra    4             3837.8207970
10 Mar 2022 13:57:02.730    10 Mar 2022 14:56:08.232      3545.5019424    Earth           Umbra       4             3837.8207970
10 Mar 2022 14:56:08.232    10 Mar 2022 14:58:34.389      146.15737555    Earth           Penumbra    4             3837.8207970
11 Mar 2022 13:53:32.478    11 Mar 2022 13:55:54.908      142.43021122    Earth           Penumbra    5             3928.1246024
11 Mar 2022 13:55:54.908    11 Mar 2022 14:56:38.176      3643.2681489    Earth           Umbra       5             3928.1246024
11 Mar 2022 14:56:38.176    11 Mar 2022 14:59:00.603      142.42624228    Earth           Penumbra    5             3928.1246024
12 Mar 2022 13:52:33.711    12 Mar 2022 13:54:53.007      139.29534622    Earth           Penumbra    6             4007.6168425
12 Mar 2022 13:54:53.007    12 Mar 2022 14:57:02.037      3729.0299785    Earth           Umbra       6             4007.6168425
12 Mar 2022 14:57:02.037    12 Mar 2022 14:59:21.328      139.29151779    Earth           Penumbra    6             4007.6168425
13 Mar 2022 13:52:00.239    13 Mar 2022 13:54:16.960      136.72120225    Earth           Penumbra    1             4076.2742028
13 Mar 2022 13:54:16.960    13 Mar 2022 14:57:39.797      3802.8369776    Earth           Umbra       1             4076.2742028
13 Mar 2022 14:57:39.797    13 Mar 2022 14:59:56.513      136.71602287    Earth           Penumbra    1             4076.2742028
14 Mar 2022 13:51:14.427    14 Mar 2022 13:53:28.958      134.53042789    Earth           Penumbra    2             4135.9108698
14 Mar 2022 13:53:28.958    14 Mar 2022 14:57:55.813      3866.8550783    Earth           Umbra       2             4135.9108698
14 Mar 2022 14:57:55.813    14 Mar 2022 15:00:10.338      134.52536354    Earth           Penumbra    2             4135.9108698
15 Mar 2022 13:50:33.288    15 Mar 2022 13:52:46.019      132.73113482    Earth           Penumbra    3             4186.1706809
15 Mar 2022 13:52:46.019    15 Mar 2022 14:58:06.732      3920.7133550    Earth           Umbra       3             4186.1706809
15 Mar 2022 14:58:06.732    15 Mar 2022 15:00:19.458      132.72619117    Earth           Penumbra    3             4186.1706809
16 Mar 2022 13:49:56.688    16 Mar 2022 13:52:07.972      131.28436888    Earth           Penumbra    4             4227.3627968
16 Mar 2022 13:52:07.972    16 Mar 2022 14:58:12.771      3964.7988764    Earth           Umbra       4             4227.3627968
16 Mar 2022 14:58:12.771    16 Mar 2022 15:00:24.051      131.27955159    Earth           Penumbra    4             4227.3627968
17 Mar 2022 13:49:24.529    17 Mar 2022 13:51:34.690      130.16066244    Earth           Penumbra    5             4259.7321957
17 Mar 2022 13:51:34.690    17 Mar 2022 14:58:14.106      3999.4155580    Earth           Umbra       5             4259.7321957
17 Mar 2022 14:58:14.106    17 Mar 2022 15:00:24.262      130.15597528    Earth           Penumbra    5             4259.7321957
18 Mar 2022 13:48:56.742    18 Mar 2022 13:51:06.080      129.33822266    Earth           Penumbra    6             4283.4676880
18 Mar 2022 13:51:06.080    18 Mar 2022 14:58:10.876      4024.7957915    Earth           Umbra       6             4283.4676880
18 Mar 2022 14:58:10.876    18 Mar 2022 15:00:20.210      129.33367380    Earth           Penumbra    6             4283.4676880
19 Mar 2022 13:48:33.280    19 Mar 2022 13:50:42.082      128.80169934    Earth           Penumbra    7             4298.7076557
19 Mar 2022 13:50:42.082    19 Mar 2022 14:58:03.191      4041.1086623    Earth           Umbra       7             4298.7076557
19 Mar 2022 14:58:03.191    19 Mar 2022 15:00:11.988      128.79729413    Earth           Penumbra    7             4298.7076557
20 Mar 2022 13:48:14.124    20 Mar 2022 13:50:22.665      128.54135041    Earth           Penumbra    8             4305.5440135
20 Mar 2022 13:50:22.665    20 Mar 2022 14:57:51.131      4048.4655701    Earth           Umbra       8             4305.5440135
20 Mar 2022 14:57:51.131    20 Mar 2022 14:59:59.668      128.53709293    Earth           Penumbra    8             4305.5440135
21 Mar 2022 13:47:40.616    21 Mar 2022 13:49:49.145      128.52905856    Earth           Penumbra    1             4303.8536736
21 Mar 2022 13:49:49.145    21 Mar 2022 14:57:15.939      4046.7939233    Earth           Umbra       1             4303.8536736
21 Mar 2022 14:57:15.939    21 Mar 2022 14:59:24.470      128.53069177    Earth           Penumbra    1             4303.8536736
22 Mar 2022 13:47:23.044    22 Mar 2022 13:49:31.853      128.80860404    Earth           Penumbra    2             4294.1153363
22 Mar 2022 13:49:31.853    22 Mar 2022 14:56:48.349      4036.4963089    Earth           Umbra       2             4294.1153363
22 Mar 2022 14:56:48.349    22 Mar 2022 14:58:57.160      128.81042333    Earth           Penumbra    2             4294.1153363
23 Mar 2022 13:47:09.841    23 Mar 2022 13:49:19.206      129.36495129    Earth           Penumbra    3             4275.9884179
23 Mar 2022 13:49:19.206    23 Mar 2022 14:56:16.462      4017.2565021    Earth           Umbra       3             4275.9884179
23 Mar 2022 14:56:16.462    23 Mar 2022 14:58:25.829      129.36696452    Earth           Penumbra    3             4275.9884179
24 Mar 2022 13:47:01.069    24 Mar 2022 13:49:11.277      130.20827773    Earth           Penumbra    4             4249.3921612
24 Mar 2022 13:49:11.277    24 Mar 2022 14:55:40.250      3988.9733910    Earth           Umbra       4             4249.3921612
24 Mar 2022 14:55:40.250    24 Mar 2022 14:57:50.461      130.21049243    Earth           Penumbra    4             4249.3921612
25 Mar 2022 13:46:56.812    25 Mar 2022 13:49:08.166      131.35440942    Earth           Penumbra    5             4214.1996607
