Date,Stat,StartDiff,FinDiff
25-Feb-2022,NoEcl   ,24:00:00,24:00:00
26-Feb-2022,Penumbra,-00:04:33,00:03:24
27-Feb-2022,Penumbra,-00:02:34,00:02:48
28-Feb-2022,Penumbra,-00:02:04,-00:03:00
28-Feb-2022,Umbra   ,-00:03:02,00:03:00
28-Feb-2022,Penumbra,00:02:59,00:02:03
01-Mar-2022,Penumbra,-00:01:49,-00:02:18
01-Mar-2022,Umbra   ,-00:02:18,00:02:02
01-Mar-2022,Penumbra,00:02:01,00:01:32
02-Mar-2022,Penumbra,-00:01:43,-00:02:01
02-Mar-2022,Umbra   ,-00:02:02,00:01:29
02-Mar-2022,Penumbra,00:01:28,00:01:10
03-Mar-2022,Penumbra,-00:01:40,-00:01:52
03-Mar-2022,Umbra   ,-00:01:53,00:01:05
03-Mar-2022,Penumbra,00:01:03,00:00:50
04-Mar-2022,Penumbra,-00:01:39,-00:01:48
04-Mar-2022,Umbra   ,-00:01:49,00:00:44
04-Mar-2022,Penumbra,00:00:44,00:00:33
05-Mar-2022,Penumbra,-00:01:40,-00:01:47
05-Mar-2022,Umbra   ,-00:01:48,00:00:25
05-Mar-2022,Penumbra,00:00:24,00:00:18
06-Mar-2022,Penumbra,-00:01:41,-00:01:46
06-Mar-2022,Umbra   ,-00:01:46,00:00:09
06-Mar-2022,Penumbra,00:00:08,00:00:03
07-Mar-2022,Penumbra,-00:00:42,-00:00:46
07-Mar-2022,Umbra   ,-00:00:47,00:01:01
07-Mar-2022,Penumbra,00:01:00,00:00:56
08-Mar-2022,Penumbra,-00:00:43,-00:00:46
08-Mar-2022,Umbra   ,-00:00:47,00:00:48
08-Mar-2022,Penumbra,00:00:47,00:00:43
09-Mar-2022,Penumbra,-00:00:45,-00:00:47
09-Mar-2022,Umbra   ,-00:00:47,00:00:35
09-Mar-2022,Penumbra,00:00:35,00:00:32
10-Mar-2022,Penumbra,-00:00:47,-00:00:48
10-Mar-2022,Umbra   ,-00:00:48,00:00:23
